Target distance: 100, step size: 2
56: (x, y) = (-2.64245, 21.452)
57: (x, y) = (-0.80144, 20.6705)
58: (x, y) = (-0.283802, 22.6024)
59: (x, y) = (-1.69802, 24.0166)
60: (x, y) = (-1.5585, 26.0117)
61: (x, y) = (-2.10978, 27.9342)
62: (x, y) = (-0.21874, 28.5854)
63: (x, y) = (-0.935476, 26.7182)
64: (x, y) = (-2.59355, 27.8366)
65: (x, y) = (-4.55681, 28.2182)
66: (x, y) = (-6.19511, 27.0711)
67: (x, y) = (-7.25495, 28.7672)
68: (x, y) = (-5.44233, 27.9219)
69: (x, y) = (-5.16399, 25.9414)
70: (x, y) = (-5.26866, 27.9387)
71: (x, y) = (-6.84468, 29.17)
72: (x, y) = (-8.77653, 28.6523)
73: (x, y) = (-7.38722, 30.091)
74: (x, y) = (-7.83712, 32.0398)
75: (x, y) = (-9.75964, 31.4885)
76: (x, y) = (-7.80335, 31.9043)
77: (x, y) = (-9.80335, 31.9043)
78: (x, y) = (-9.05413, 30.0499)
79: (x, y) = (-7.06904, 30.2937)
80: (x, y) = (-6.4179, 32.1847)
81: (x, y) = (-4.84188, 30.9534)
82: (x, y) = (-4.94655, 28.9561)
83: (x, y) = (-6.47864, 30.2417)
84: (x, y) = (-6.2349, 32.2268)
85: (x, y) = (-4.61687, 31.0512)
86: (x, y) = (-6.34892, 32.0512)
87: (x, y) = (-7.06566, 33.9184)
88: (x, y) = (-9.05075, 34.1621)
89: (x, y) = (-10.465, 32.7479)
90: (x, y) = (-11.2784, 30.9208)
91: (x, y) = (-11.6601, 28.9576)
92: (x, y) = (-9.91081, 27.988)
93: (x, y) = (-10.0851, 25.9956)
94: (x, y) = (-11.7995, 27.0256)
95: (x, y) = (-9.83621, 26.644)
96: (x, y) = (-9.31857, 28.5759)
97: (x, y) = (-7.32344, 28.7154)
98: (x, y) = (-5.40092, 28.1641)
99: (x, y) = (-4.11534, 29.6962)
100: (x, y) = (-5.91293, 30.5729)
101: (x, y) = (-5.46303, 32.5217)
102: (x, y) = (-4.58629, 34.3193)
103: (x, y) = (-6.07257, 32.981)
104: (x, y) = (-4.08019, 32.8067)
105: (x, y) = (-2.5481, 34.0923)
106: (x, y) = (-1.48826, 35.7884)
107: (x, y) = (-2.48826, 34.0563)
108: (x, y) = (-4.02035, 32.7707)
109: (x, y) = (-2.05073, 32.4235)
110: (x, y) = (-2.83219, 30.5824)
111: (x, y) = (-4.7448, 31.1672)
112: (x, y) = (-6.73993, 31.0277)
113: (x, y) = (-4.95792, 31.9357)
114: (x, y) = (-3.86864, 30.2583)
115: (x, y) = (-3.93844, 28.2595)
116: (x, y) = (-1.96306, 27.9467)
117: (x, y) = (-2.06773, 29.9439)
118: (x, y) = (-0.176697, 30.5951)
119: (x, y) = (1.44134, 31.7706)
120: (x, y) = (2.92763, 30.4324)
121: (x, y) = (1.46492, 31.7964)
122: (x, y) = (2.34166, 29.9988)
123: (x, y) = (0.439548, 30.6168)
124: (x, y) = (1.92584, 31.9551)
125: (x, y) = (3.38855, 30.5911)
126: (x, y) = (1.63931, 31.5607)
127: (x, y) = (0.731325, 33.3427)
128: (x, y) = (-1.21742, 32.8928)
129: (x, y) = (-2.63163, 34.307)
130: (x, y) = (-1.09954, 35.5926)
131: (x, y) = (0.856755, 35.1768)
132: (x, y) = (1.06581, 37.1658)
133: (x, y) = (2.8929, 36.3523)
134: (x, y) = (3.17125, 38.3329)
135: (x, y) = (3.51855, 40.3025)
136: (x, y) = (5.44107, 40.8538)
137: (x, y) = (3.90898, 42.1393)
138: (x, y) = (5.44107, 40.8538)
139: (x, y) = (4.32268, 39.1957)
140: (x, y) = (6.32146, 39.2655)
141: (x, y) = (6.70308, 41.2287)
142: (x, y) = (8.23517, 42.5143)
143: (x, y) = (6.24613, 42.3053)
144: (x, y) = (8.1005, 41.556)
145: (x, y) = (6.46219, 40.4089)
146: (x, y) = (8.12027, 39.2905)
147: (x, y) = (6.25311, 38.5738)
148: (x, y) = (7.51175, 37.0195)
149: (x, y) = (5.91448, 35.8159)
150: (x, y) = (4.85464, 34.1198)
151: (x, y) = (4.74997, 32.1225)
152: (x, y) = (6.73901, 31.9134)
153: (x, y) = (4.74997, 32.1225)
154: (x, y) = (5.4667, 33.9897)
155: (x, y) = (7.06397, 35.1933)
156: (x, y) = (5.75185, 36.7027)
157: (x, y) = (5.64718, 38.7)
158: (x, y) = (7.44477, 39.5767)
159: (x, y) = (9.0628, 38.4011)
160: (x, y) = (8.71551, 40.3708)
161: (x, y) = (9.52898, 42.1978)
162: (x, y) = (7.53385, 42.0583)
163: (x, y) = (5.54146, 41.884)
164: (x, y) = (5.71578, 39.8916)
165: (x, y) = (4.22949, 41.2299)
166: (x, y) = (2.76678, 42.5939)
167: (x, y) = (3.48351, 40.7267)
168: (x, y) = (1.75146, 41.7267)
169: (x, y) = (3.4658, 40.6967)
170: (x, y) = (4.99789, 41.9822)
171: (x, y) = (3.23199, 42.9212)
172: (x, y) = (3.57929, 40.9516)
173: (x, y) = (4.91755, 39.4653)
174: (x, y) = (3.20321, 38.4352)
175: (x, y) = (2.8216, 36.4719)
176: (x, y) = (0.872856, 36.9218)
177: (x, y) = (-1.1244, 37.0265)
178: (x, y) = (-1.4717, 38.9961)
179: (x, y) = (0.484596, 38.5803)
180: (x, y) = (0.379924, 36.583)
181: (x, y) = (2.23429, 35.8338)
182: (x, y) = (1.75045, 33.8932)
183: (x, y) = (1.43758, 31.9179)
184: (x, y) = (3.26467, 32.7313)
185: (x, y) = (1.35206, 32.1466)
186: (x, y) = (-0.617555, 32.4939)
187: (x, y) = (1.16446, 33.4019)
188: (x, y) = (1.8485, 31.5225)
189: (x, y) = (2.56523, 33.3896)
190: (x, y) = (1.12655, 32.0003)
191: (x, y) = (2.84089, 33.0304)
192: (x, y) = (4.82598, 33.2741)
193: (x, y) = (5.17328, 31.3045)
194: (x, y) = (5.24308, 33.3033)
195: (x, y) = (5.6589, 31.347)
196: (x, y) = (6.68898, 33.0613)
197: (x, y) = (6.44524, 35.0464)
198: (x, y) = (6.58475, 37.0416)
199: (x, y) = (4.83551, 36.0719)
200: (x, y) = (5.64898, 37.899)
201: (x, y) = (4.47341, 39.5171)
202: (x, y) = (3.29784, 37.899)
203: (x, y) = (5.23844, 37.4152)
204: (x, y) = (6.52401, 35.8831)
205: (x, y) = (6.69832, 37.8755)
206: (x, y) = (5.79034, 39.6575)
207: (x, y) = (4.88236, 41.4395)
208: (x, y) = (3.49304, 42.8782)
209: (x, y) = (1.91702, 41.6469)
210: (x, y) = (1.36575, 43.5694)
211: (x, y) = (1.47042, 41.5721)
212: (x, y) = (2.21963, 43.4265)
213: (x, y) = (1.04406, 41.8085)
214: (x, y) = (2.40806, 43.2712)
215: (x, y) = (4.04636, 42.124)
216: (x, y) = (5.13564, 40.4467)
217: (x, y) = (3.53837, 39.2431)
218: (x, y) = (2.09969, 37.8537)
219: (x, y) = (0.924119, 36.2357)
220: (x, y) = (1.47539, 34.3132)
221: (x, y) = (1.54519, 36.312)
222: (x, y) = (0.0824855, 37.676)
223: (x, y) = (0.895959, 35.8489)
224: (x, y) = (-0.0736604, 34.0996)
225: (x, y) = (-0.317399, 36.0847)
226: (x, y) = (-0.2476, 38.0835)
227: (x, y) = (0.7524, 36.3515)
228: (x, y) = (-1.18819, 35.8676)
229: (x, y) = (-3.17724, 36.0767)
230: (x, y) = (-1.31007, 36.7934)
231: (x, y) = (-1.65737, 34.8238)
232: (x, y) = (-3.63791, 35.1021)
233: (x, y) = (-4.15555, 33.1703)
234: (x, y) = (-5.09449, 34.9362)
235: (x, y) = (-6.15433, 36.6323)
236: (x, y) = (-7.85042, 35.5724)
237: (x, y) = (-8.96881, 33.9144)
238: (x, y) = (-9.71802, 35.7687)
239: (x, y) = (-11.2723, 34.5101)
240: (x, y) = (-9.61424, 33.3917)
241: (x, y) = (-9.61424, 35.3917)
242: (x, y) = (-10.9525, 36.878)
243: (x, y) = (-11.092, 34.8829)
244: (x, y) = (-9.47398, 33.7073)
245: (x, y) = (-8.21534, 35.2616)
246: (x, y) = (-8.66524, 37.2103)
247: (x, y) = (-8.76991, 35.2131)
248: (x, y) = (-8.80482, 33.2134)
249: (x, y) = (-7.10872, 32.1535)
250: (x, y) = (-5.15998, 32.6034)
251: (x, y) = (-4.37852, 34.4444)
252: (x, y) = (-3.76048, 32.5423)
253: (x, y) = (-1.90612, 33.2915)
254: (x, y) = (-3.10975, 31.6943)
255: (x, y) = (-5.073, 32.0759)
256: (x, y) = (-6.04262, 33.8251)
257: (x, y) = (-4.4666, 32.5938)
258: (x, y) = (-2.57556, 31.9427)
259: (x, y) = (-1.21156, 30.48)
260: (x, y) = (0.768971, 30.7583)
261: (x, y) = (2.76623, 30.863)
262: (x, y) = (2.94054, 32.8554)
263: (x, y) = (0.940846, 32.8205)
264: (x, y) = (-0.344729, 34.3526)
265: (x, y) = (-2.17182, 33.5391)
266: (x, y) = (-1.08254, 31.8617)
267: (x, y) = (-2.72085, 30.7146)
268: (x, y) = (-1.38258, 29.2283)
269: (x, y) = (-0.235432, 30.8666)
270: (x, y) = (0.940139, 29.2486)
271: (x, y) = (-0.791912, 30.2486)
272: (x, y) = (1.1207, 30.8333)
273: (x, y) = (1.53652, 32.7896)
274: (x, y) = (2.65491, 34.4477)
275: (x, y) = (4.54594, 33.7965)
276: (x, y) = (3.26037, 35.3286)
277: (x, y) = (1.38098, 36.0127)
278: (x, y) = (0.350907, 37.727)
279: (x, y) = (0.385812, 35.7273)
280: (x, y) = (-0.845511, 37.3033)
281: (x, y) = (1.14353, 37.5124)
282: (x, y) = (-0.588518, 36.5124)
283: (x, y) = (0.0295161, 34.6103)
284: (x, y) = (1.77876, 35.5799)
285: (x, y) = (1.98781, 37.5689)
286: (x, y) = (1.70947, 39.5495)
287: (x, y) = (0.01337, 40.6093)
288: (x, y) = (0.291716, 38.6288)
289: (x, y) = (0.673334, 40.592)
290: (x, y) = (2.47092, 39.7153)
291: (x, y) = (0.616555, 40.4645)
292: (x, y) = (2.00587, 39.0258)
293: (x, y) = (2.72261, 37.1587)
294: (x, y) = (4.58977, 36.4419)
295: (x, y) = (6.05248, 35.0779)
296: (x, y) = (4.63826, 36.4921)
297: (x, y) = (2.82565, 37.3374)
298: (x, y) = (0.84511, 37.6157)
299: (x, y) = (2.35453, 36.3036)
300: (x, y) = (2.63288, 38.2841)
301: (x, y) = (1.69393, 40.05)
302: (x, y) = (1.0428, 41.9411)
303: (x, y) = (0.6955, 43.9107)
304: (x, y) = (1.44471, 45.7651)
305: (x, y) = (3.02073, 46.9964)
306: (x, y) = (4.38473, 45.5337)
307: (x, y) = (5.06877, 47.4131)
308: (x, y) = (3.16666, 46.795)
309: (x, y) = (3.71793, 48.7176)
310: (x, y) = (2.04059, 47.6283)
311: (x, y) = (0.138479, 47.0102)
312: (x, y) = (1.50248, 45.5475)
313: (x, y) = (2.37922, 47.3451)
314: (x, y) = (1.20365, 48.9632)
315: (x, y) = (3.10576, 48.3451)
316: (x, y) = (4.98515, 49.0292)
317: (x, y) = (4.77609, 51.0182)
318: (x, y) = (6.77487, 51.088)
319: (x, y) = (4.80525, 51.4353)
320: (x, y) = (2.81013, 51.5748)
321: (x, y) = (1.04423, 50.6359)
322: (x, y) = (2.74033, 49.576)
323: (x, y) = (4.73911, 49.6458)
324: (x, y) = (3.20702, 50.9314)
325: (x, y) = (1.20702, 50.9314)
326: (x, y) = (2.71644, 49.6193)
327: (x, y) = (1.0391, 50.7086)
328: (x, y) = (2.85171, 49.8633)
329: (x, y) = (4.84897, 49.968)
330: (x, y) = (4.26423, 51.8806)
331: (x, y) = (5.35351, 53.558)
332: (x, y) = (4.32343, 55.2723)
333: (x, y) = (4.39323, 57.2711)
334: (x, y) = (2.55222, 58.0525)
335: (x, y) = (3.49116, 59.8184)
336: (x, y) = (2.31559, 61.4365)
337: (x, y) = (1.59886, 63.3036)
338: (x, y) = (3.59399, 63.4431)
339: (x, y) = (1.67146, 62.8919)
340: (x, y) = (2.76074, 64.5692)
341: (x, y) = (1.18472, 63.3379)
342: (x, y) = (2.84279, 64.4563)
343: (x, y) = (4.81241, 64.8036)
344: (x, y) = (3.01482, 65.6803)
345: (x, y) = (4.69216, 66.7696)
346: (x, y) = (3.25348, 65.3803)
347: (x, y) = (1.26444, 65.5893)
348: (x, y) = (0.00579864, 67.1436)
349: (x, y) = (-1.3582, 65.6809)
350: (x, y) = (-2.97623, 64.5053)
351: (x, y) = (-4.97349, 64.61)
352: (x, y) = (-4.45585, 66.5419)
353: (x, y) = (-3.33747, 68.1999)
354: (x, y) = (-2.10614, 69.776)
355: (x, y) = (-2.00147, 71.7732)
356: (x, y) = (-3.11986, 70.1151)
357: (x, y) = (-1.1566, 70.4968)
358: (x, y) = (-2.30376, 68.8585)
359: (x, y) = (-4.01809, 67.8284)
360: (x, y) = (-4.79955, 65.9874)
361: (x, y) = (-2.89744, 65.3693)
362: (x, y) = (-2.93235, 63.3696)
363: (x, y) = (-3.93235, 61.6376)
364: (x, y) = (-2.87251, 59.9415)
365: (x, y) = (-2.05903, 61.7686)
366: (x, y) = (-0.999195, 60.0725)
367: (x, y) = (-0.282459, 61.9396)
368: (x, y) = (1.02966, 63.4491)
369: (x, y) = (2.23329, 61.8518)
370: (x, y) = (2.05898, 59.8594)
371: (x, y) = (1.47423, 61.772)
372: (x, y) = (3.07151, 62.9756)
373: (x, y) = (1.09097, 63.254)
374: (x, y) = (3.05422, 62.8724)
375: (x, y) = (1.09097, 62.4908)
376: (x, y) = (1.54087, 64.4395)
377: (x, y) = (-0.117204, 63.3211)
378: (x, y) = (-1.20648, 61.6438)
379: (x, y) = (-0.790659, 63.6001)
380: (x, y) = (0.573338, 62.1374)
381: (x, y) = (2.21164, 60.9902)
382: (x, y) = (0.980319, 62.5662)
383: (x, y) = (2.74621, 63.5052)
384: (x, y) = (4.61338, 64.2219)
385: (x, y) = (2.61338, 64.2219)
386: (x, y) = (4.56967, 63.8061)
387: (x, y) = (4.15385, 61.8498)
388: (x, y) = (5.06183, 63.6318)
389: (x, y) = (3.59912, 62.2678)
390: (x, y) = (2.94798, 64.1588)
391: (x, y) = (4.23356, 62.6267)
392: (x, y) = (4.68346, 64.5755)
393: (x, y) = (3.99942, 62.6961)
394: (x, y) = (2.03617, 62.3145)
395: (x, y) = (3.9272, 62.9656)
396: (x, y) = (1.95183, 62.6528)
397: (x, y) = (3.94422, 62.8271)
398: (x, y) = (4.01402, 64.8258)
399: (x, y) = (2.95418, 63.1298)
400: (x, y) = (0.959049, 62.9902)
401: (x, y) = (-0.430268, 61.5516)
402: (x, y) = (-2.02754, 60.3479)
403: (x, y) = (-3.53696, 59.0358)
404: (x, y) = (-3.53696, 57.0358)
405: (x, y) = (-5.31897, 56.1278)
406: (x, y) = (-4.83513, 54.1872)
407: (x, y) = (-2.88639, 53.7373)
408: (x, y) = (-2.10492, 51.8963)
409: (x, y) = (-0.427583, 52.9856)
410: (x, y) = (0.480398, 51.2036)
411: (x, y) = (-0.333076, 49.3765)
412: (x, y) = (1.66571, 49.3067)
413: (x, y) = (2.51094, 51.1193)
414: (x, y) = (0.852867, 52.2377)
415: (x, y) = (2.73225, 52.9217)
416: (x, y) = (1.88702, 51.1091)
417: (x, y) = (0.497699, 52.5478)
418: (x, y) = (0.776045, 50.5673)
419: (x, y) = (-1.22365, 50.5324)
420: (x, y) = (0.773609, 50.4277)
421: (x, y) = (0.391991, 48.4644)
422: (x, y) = (-0.920127, 49.9739)
423: (x, y) = (0.255444, 48.3558)
424: (x, y) = (-1.47661, 49.3558)
425: (x, y) = (-3.4172, 48.872)
426: (x, y) = (-1.75912, 47.7536)
427: (x, y) = (0.108037, 47.0369)
428: (x, y) = (-1.77135, 46.3528)
429: (x, y) = (-1.22007, 44.4303)
430: (x, y) = (-1.18517, 46.43)
431: (x, y) = (-1.66901, 44.4894)
432: (x, y) = (-3.43491, 45.4283)
433: (x, y) = (-2.23128, 43.8311)
434: (x, y) = (-3.17022, 45.597)
435: (x, y) = (-2.35675, 43.7699)
436: (x, y) = (-0.559159, 44.6466)
437: (x, y) = (-0.419646, 42.6515)
438: (x, y) = (-0.0380281, 40.6882)
439: (x, y) = (1.47139, 39.3761)
440: (x, y) = (2.70271, 37.8001)
441: (x, y) = (1.14842, 36.5415)
442: (x, y) = (-0.664194, 35.6962)
443: (x, y) = (-2.66298, 35.766)
444: (x, y) = (-4.49007, 36.5795)
445: (x, y) = (-5.95277, 35.2155)
446: (x, y) = (-7.85489, 34.5975)
447: (x, y) = (-6.3686, 35.9357)
448: (x, y) = (-4.36982, 35.8659)
449: (x, y) = (-2.41352, 35.4501)
450: (x, y) = (-2.58783, 37.4425)
451: (x, y) = (-3.95183, 35.9798)
452: (x, y) = (-4.70104, 34.1254)
453: (x, y) = (-6.09036, 32.6867)
454: (x, y) = (-8.0794, 32.8958)
455: (x, y) = (-8.0794, 30.8958)
456: (x, y) = (-7.29794, 29.0548)
457: (x, y) = (-8.83003, 30.3404)
458: (x, y) = (-9.8601, 32.0547)
459: (x, y) = (-11.2241, 33.5174)
460: (x, y) = (-10.2852, 31.7515)
461: (x, y) = (-12.0172, 30.7515)
462: (x, y) = (-10.268, 31.7211)
463: (x, y) = (-10.3029, 33.7208)
464: (x, y) = (-8.55364, 34.6904)
465: (x, y) = (-6.6626, 35.3416)
466: (x, y) = (-4.84998, 36.1868)
467: (x, y) = (-4.26524, 34.2742)
468: (x, y) = (-6.20583, 34.758)
469: (x, y) = (-8.20553, 34.7929)
470: (x, y) = (-9.14447, 36.5588)
471: (x, y) = (-7.20388, 36.075)
472: (x, y) = (-7.20388, 34.075)
473: (x, y) = (-9.13573, 33.5574)
474: (x, y) = (-11.0583, 34.1086)
475: (x, y) = (-10.2448, 35.9357)
476: (x, y) = (-9.2147, 37.6501)
477: (x, y) = (-10.3619, 36.0118)
478: (x, y) = (-8.48247, 35.3277)
479: (x, y) = (-7.39319, 37.0051)
480: (x, y) = (-8.8559, 35.6411)
481: (x, y) = (-8.33826, 37.5729)
482: (x, y) = (-7.85442, 35.6323)
483: (x, y) = (-5.94181, 35.0476)
484: (x, y) = (-7.93085, 35.2566)
485: (x, y) = (-6.1988, 34.2566)
486: (x, y) = (-7.34595, 35.8949)
487: (x, y) = (-7.9307, 37.8075)
488: (x, y) = (-8.61474, 39.6869)
489: (x, y) = (-9.42821, 37.8598)
490: (x, y) = (-10.1774, 39.7142)
491: (x, y) = (-8.86531, 41.2236)
492: (x, y) = (-7.15097, 40.1936)
493: (x, y) = (-5.20223, 40.6435)
494: (x, y) = (-3.24594, 41.0593)
495: (x, y) = (-4.53151, 39.5272)
496: (x, y) = (-4.70582, 37.5348)
497: (x, y) = (-4.74073, 35.5351)
498: (x, y) = (-6.5951, 36.2843)
499: (x, y) = (-5.94396, 38.1754)
500: (x, y) = (-4.41187, 36.8898)
501: (x, y) = (-4.20281, 34.9007)
502: (x, y) = (-3.55168, 33.0097)
503: (x, y) = (-3.9675, 34.966)
504: (x, y) = (-4.71671, 36.8204)
505: (x, y) = (-4.82139, 38.8176)
506: (x, y) = (-6.78464, 39.1992)
507: (x, y) = (-5.32193, 40.5632)
508: (x, y) = (-3.62584, 39.5034)
509: (x, y) = (-1.75868, 40.2201)
510: (x, y) = (-2.10597, 42.1898)
511: (x, y) = (-1.22923, 43.9873)
512: (x, y) = (-1.47297, 45.9724)
513: (x, y) = (-1.95681, 44.0318)
514: (x, y) = (-1.64394, 42.0565)
515: (x, y) = (-3.24121, 43.2601)
516: (x, y) = (-4.60521, 41.7974)
517: (x, y) = (-3.191, 43.2116)
518: (x, y) = (-3.87504, 41.3322)
519: (x, y) = (-5.62428, 40.3626)
520: (x, y) = (-7.53689, 40.9473)
521: (x, y) = (-8.71246, 39.3293)
522: (x, y) = (-9.99803, 40.8614)
523: (x, y) = (-8.0029, 41.0009)
524: (x, y) = (-8.78437, 39.1599)
525: (x, y) = (-6.84378, 39.6437)
526: (x, y) = (-7.99093, 38.0054)
527: (x, y) = (-9.75682, 38.9444)
528: (x, y) = (-9.27298, 37.0038)
529: (x, y) = (-7.59564, 38.0931)
530: (x, y) = (-7.76995, 40.0855)
531: (x, y) = (-8.64669, 41.883)
532: (x, y) = (-10.6464, 41.8481)
533: (x, y) = (-8.8193, 42.6616)
534: (x, y) = (-10.3736, 41.403)
535: (x, y) = (-12.3054, 41.9206)
536: (x, y) = (-13.2444, 43.6865)
537: (x, y) = (-13.5917, 41.7169)
538: (x, y) = (-15.3576, 40.7779)
539: (x, y) = (-13.8713, 39.4397)
540: (x, y) = (-13.4897, 37.4764)
541: (x, y) = (-15.4897, 37.4764)
542: (x, y) = (-16.0409, 35.5539)
543: (x, y) = (-16.725, 33.6745)
544: (x, y) = (-16.2751, 35.6233)
545: (x, y) = (-18.2641, 35.8323)
546: (x, y) = (-16.5868, 36.9216)
547: (x, y) = (-18.5819, 37.0611)
548: (x, y) = (-18.6168, 39.0608)
549: (x, y) = (-20.4294, 39.906)
550: (x, y) = (-18.6168, 40.7513)
551: (x, y) = (-19.7924, 42.3693)
552: (x, y) = (-18.0431, 43.3389)
553: (x, y) = (-19.8702, 44.1524)
554: (x, y) = (-21.1824, 45.6618)
555: (x, y) = (-20.9386, 43.6767)
556: (x, y) = (-22.9082, 44.024)
557: (x, y) = (-20.9192, 44.2331)
558: (x, y) = (-20.2025, 46.1002)
559: (x, y) = (-18.5444, 44.9819)
560: (x, y) = (-18.5095, 42.9822)
561: (x, y) = (-20.4413, 43.4998)
562: (x, y) = (-20.1976, 45.4849)
563: (x, y) = (-18.5796, 44.3093)
564: (x, y) = (-20.5549, 43.9965)
565: (x, y) = (-22.544, 44.2055)
566: (x, y) = (-23.8295, 45.7376)
567: (x, y) = (-25.8292, 45.7725)
568: (x, y) = (-25.278, 47.695)
569: (x, y) = (-23.4236, 46.9458)
570: (x, y) = (-24.9099, 48.2841)
571: (x, y) = (-22.9175, 48.1098)
572: (x, y) = (-24.7847, 48.8265)
573: (x, y) = (-24.9937, 46.8375)
574: (x, y) = (-25.8072, 45.0104)
575: (x, y) = (-26.4252, 46.9125)
576: (x, y) = (-26.0094, 48.8688)
577: (x, y) = (-27.7586, 49.8384)
578: (x, y) = (-27.2748, 47.8978)
579: (x, y) = (-29.2381, 48.2794)
580: (x, y) = (-28.0344, 46.6821)
581: (x, y) = (-26.7758, 45.1279)
582: (x, y) = (-28.7321, 45.5437)
583: (x, y) = (-26.905, 44.7302)
584: (x, y) = (-25.064, 43.9487)
585: (x, y) = (-24.0944, 42.1995)
586: (x, y) = (-24.6791, 40.2869)
587: (x, y) = (-22.7997, 40.9709)
588: (x, y) = (-21.6526, 39.3326)
589: (x, y) = (-23.5844, 38.815)
590: (x, y) = (-21.6438, 38.3312)
591: (x, y) = (-21.574, 40.3299)
592: (x, y) = (-22.8053, 38.7539)
593: (x, y) = (-21.7753, 37.0396)
594: (x, y) = (-20.5439, 38.6156)
595: (x, y) = (-19.7625, 36.7746)
596: (x, y) = (-20.6077, 38.5872)
597: (x, y) = (-22.6065, 38.5174)
598: (x, y) = (-23.388, 40.3584)
599: (x, y) = (-25.3633, 40.0455)
600: (x, y) = (-23.686, 41.1348)
601: (x, y) = (-24.7753, 42.8122)
602: (x, y) = (-23.686, 44.4895)
603: (x, y) = (-22.8093, 46.2871)
604: (x, y) = (-21.0272, 47.1951)
605: (x, y) = (-19.938, 45.5177)
606: (x, y) = (-21.9185, 45.7961)
607: (x, y) = (-20.0641, 45.0469)
608: (x, y) = (-20.2036, 47.042)
609: (x, y) = (-18.5076, 45.9822)
610: (x, y) = (-16.6165, 46.6333)
611: (x, y) = (-16.5118, 44.636)
612: (x, y) = (-18.2262, 45.6661)
613: (x, y) = (-20.2113, 45.4224)
614: (x, y) = (-20.8953, 43.543)
615: (x, y) = (-22.0989, 45.1403)
616: (x, y) = (-23.2745, 46.7583)
617: (x, y) = (-24.8718, 47.9619)
618: (x, y) = (-26.5491, 49.0512)
619: (x, y) = (-25.4598, 47.3739)
620: (x, y) = (-27.1919, 46.3739)
621: (x, y) = (-25.1995, 46.5482)
622: (x, y) = (-25.4432, 44.5631)
623: (x, y) = (-25.1649, 46.5436)
624: (x, y) = (-23.9613, 44.9463)
625: (x, y) = (-22.5226, 43.557)
626: (x, y) = (-20.6001, 44.1083)
627: (x, y) = (-19.6611, 45.8742)
628: (x, y) = (-17.6915, 46.2215)
629: (x, y) = (-18.9501, 47.7758)
630: (x, y) = (-20.0685, 49.4339)
631: (x, y) = (-19.8942, 47.4415)
632: (x, y) = (-21.0126, 49.0995)
633: (x, y) = (-23.0123, 49.0646)
634: (x, y) = (-21.1451, 48.3479)
635: (x, y) = (-19.3041, 49.1294)
636: (x, y) = (-17.309, 48.9899)
637: (x, y) = (-15.468, 49.7713)
638: (x, y) = (-13.4683, 49.8062)
639: (x, y) = (-11.8923, 48.5749)
640: (x, y) = (-9.9169, 48.262)
641: (x, y) = (-8.04974, 48.9788)
642: (x, y) = (-9.16813, 47.3207)
643: (x, y) = (-7.21939, 47.7706)
644: (x, y) = (-8.98528, 46.8316)
645: (x, y) = (-10.1609, 48.4497)
646: (x, y) = (-11.6929, 49.7353)
647: (x, y) = (-13.475, 48.8273)
648: (x, y) = (-15.0292, 50.0859)
